subject,grade,strand,topic,skill,questionCount,sampleQuestionIds,proposedCodes,codeLabels,confidence,rationale,status
language_conventions,3,Conventions of language,Articles,Articles,10,"gen-lang-article-00369, gen-lang-article-00377",VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Grammar,Parts of speech,Identify a verb in a sentence,1,naplan-y3-language-f1-008,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Grammar,Prepositions,Choosing the correct preposition of place,1,naplan-y3-language-dd-010,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Syntax,Articles,"Using the articles a, an and the",1,icas-y3-language-c-005,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Syntax,Complete sentences and fragments,lang.prod.grammar.complete-sentences,1,g3-icas-lang-fragment-001,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Syntax,Connectives,Choose the correct connective to join ideas,1,icas-y3-language-f1-005,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Syntax,Correcting sentences,Judging whether a sentence uses correct grammar,1,icas-y3-language-da-016,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Syntax,Interrupted direct speech,Punctuate direct speech correctly,1,icas-y3-language-f1-010,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Syntax,Negatives,Choose the grammatically correct sentence,1,icas-y3-language-f1-013,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Syntax,Question words,Choosing the correct question word,1,icas-y3-language-c-003,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Syntax,Word classes,Identifying the verbs in a sentence,1,icas-y3-language-dd-012,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
language_conventions,3,Syntax,Word order in questions,lang.prod.grammar.question-word-order,1,g3-icas-lang-order-001,VC2E3LY12,"Editing and proofreading for structure, grammar and punctuation",medium,Language conventions mechanics mapped to editing and proofreading (VC2E3LY12).,mapped
numeracy,3,Measurement and geometry,2D shapes,Naming 2D shapes,1,g3-nap-num-geo-002,VC2M3SP02,Two-dimensional mapping and relative spatial positioning,medium,Aligns with 2D shape properties and spatial geometry (VC2M3SP02).,mapped
numeracy,3,Measurement and geometry,Symmetry,Count lines of symmetry in a letter shape,1,naplan-y3-numeracy-db-014,VC2M3SP02,Two-dimensional mapping and relative spatial positioning,medium,Aligns with 2D shape properties and spatial geometry (VC2M3SP02).,mapped
numeracy,3,Number & Arithmetic,Comparing quantities,Reason about how many more are needed,1,icas-y3-numeracy-e1-011,VC2M3N04,Addition and subtraction with two- and three-digit numbers using place-value partitioning,medium,General Grade 3 arithmetic/numeracy problem mapped to place-value arithmetic operations (VC2M3N04).,mapped
numeracy,3,Space & Geometry,2D shapes,Identifying a 2D shape from its properties,1,icas-y3-num-measure-008,VC2M3SP02,Two-dimensional mapping and relative spatial positioning,medium,Aligns with 2D shape properties and spatial geometry (VC2M3SP02).,mapped
numeracy,3,Space & Geometry,Polygons,Naming polygons by side count,1,g3-icas-math-geo-002,VC2M3SP02,Two-dimensional mapping and relative spatial positioning,medium,Aligns with 2D shape properties and spatial geometry (VC2M3SP02).,mapped
numeracy,3,Space & Geometry,Properties of shapes,Identifying curved and straight sides,1,g3-icas-math-geo-001,VC2M3SP02,Two-dimensional mapping and relative spatial positioning,medium,Aligns with 2D shape properties and spatial geometry (VC2M3SP02).,mapped
numeracy,3,Space & Geometry,Symmetry,Counting lines of symmetry in a figure,1,icas-y3-num-measure-009,VC2M3SP02,Two-dimensional mapping and relative spatial positioning,medium,Aligns with 2D shape properties and spatial geometry (VC2M3SP02).,mapped
numeracy,3,Space & Geometry,Symmetry of 2D shapes,Counting lines of symmetry of a shape,1,icas-y3-numeracy-dc-011,VC2M3SP02,Two-dimensional mapping and relative spatial positioning,medium,Aligns with 2D shape properties and spatial geometry (VC2M3SP02).,mapped
language_conventions,5,Conventions of language,Articles,Articles,8,"gen-lang-article-01081, gen-lang-article-01089",VC2E5LY11,Collaborative and independent text editing against quality criteria,medium,Language conventions mechanics mapped to collaborative and independent text editing (VC2E5LY11).,mapped
language_conventions,5,Conventions of language,Homophones,Homophones,13,"gen-lang-homo-01077, gen-lang-homo-01085",VC2E5LY11,Collaborative and independent text editing against quality criteria,medium,Language conventions mechanics mapped to collaborative and independent text editing (VC2E5LY11).,mapped
language_conventions,5,Conventions of language,Plurals,Plurals,11,"gen-lang-plural-01078, gen-lang-plural-01086",VC2E5LY11,Collaborative and independent text editing against quality criteria,medium,Language conventions mechanics mapped to collaborative and independent text editing (VC2E5LY11).,mapped
language_conventions,5,Conventions of language,Verb tense,Verb tense,12,"gen-lang-tense-01079, gen-lang-tense-01095",VC2E5LY11,Collaborative and independent text editing against quality criteria,medium,Language conventions mechanics mapped to collaborative and independent text editing (VC2E5LY11).,mapped
numeracy,5,Measurement and geometry,Parts of a circle,Naming parts of a circle,1,g5-nap-num-geo-003,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Measures & Units,Scale,Use a map scale,1,g5-icas-math-b01-026,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Measures & Units,Volume,Order a method,1,g5-icas-math-b01-036,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number & Arithmetic,Generalisation,Identify invariant parity,1,g5-icas-math-b01-035,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number & Arithmetic,Multi-step operations,Combine subtraction and addition,1,g5-icas-math-b01-014,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number & Arithmetic,Operations,Evaluate expressions,2,"g5-icas-math-b01-009, g5-icas-math-b01-018",VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number & Arithmetic,Operations,Order calculation results,1,g5-icas-math-b01-025,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
numeracy,5,Number & Arithmetic,Parity,Classify whole numbers,1,g5-icas-math-b01-011,VC2M5N09,Mathematical modelling in practical additive and multiplicative problem solving,medium,Practical problem solving mapped to mathematical modelling in additive/multiplicative contexts (VC2M5N09).,mapped
